deal_id,deal_scope,deal_size,target_country,current_size_under_contract,current_size_in_operation,current_negotiation_status,current_implementation_status,top_parent_companies,intended_size,size_under_contract,intention_of_investment,nature_of_the_deal,negotiation_status,implementation_status,contract_farming,investor_id,operating_company_name,operating_company_country_of_registration/origin,operating_company_classification,duration_of_the_agreement,investor_name,investor_country_of_registration,investor_classification,spatial_accuracy_level,location,geometry
1130,transnational,39361,Côte d'Ivoire,39361,40516,Concluded (Contract signed),In operation (production),Kuok Group#438#|Archer Daniels Midland Company (ADM)#3871#|SCI Parme Investissement#41866#|ImmoRiv SA#41867#,39361,1997#current#39361.0,#current##Agriculture unspecified,Lease,1997##Concluded (Contract signed)|2008##Change of ownership|1997#current#Concluded (Contract signed),1997#current#In operation (production),Yes,37293,PALMCI,Côte d'Ivoire,Stock-exchange listed company,NA,PALMCI,Côte d'Ivoire,Stock-exchange listed company,Exact location,"EHANIA, Côte d'Ivoire","c(-3.03759, 5.28195)"
1130,transnational,39361,Côte d'Ivoire,39361,40516,Concluded (Contract signed),In operation (production),Kuok Group#438#|Archer Daniels Midland Company (ADM)#3871#|SCI Parme Investissement#41866#|ImmoRiv SA#41867#,39361,1997#current#39361.0,#current##Agriculture unspecified,Lease,1997##Concluded (Contract signed)|2008##Change of ownership|1997#current#Concluded (Contract signed),1997#current#In operation (production),Yes,37293,PALMCI,Côte d'Ivoire,Stock-exchange listed company,NA,PALMCI,Côte d'Ivoire,Stock-exchange listed company,Exact location,"Toumanguié, Côte d'Ivoire","c(-3.3426, 5.34965)"
1130,transnational,39361,Côte d'Ivoire,39361,40516,Concluded (Contract signed),In operation (production),Kuok Group#438#|Archer Daniels Midland Company (ADM)#3871#|SCI Parme Investissement#41866#|ImmoRiv SA#41867#,39361,1997#current#39361.0,#current##Agriculture unspecified,Lease,1997##Concluded (Contract signed)|2008##Change of ownership|1997#current#Concluded (Contract signed),1997#current#In operation (production),Yes,37293,PALMCI,Côte d'Ivoire,Stock-exchange listed company,NA,PALMCI,Côte d'Ivoire,Stock-exchange listed company,Exact location,"Lagune Irobo, Côte d'Ivoire","c(-4.79284, 5.35326)"
1130,transnational,39361,Côte d'Ivoire,39361,40516,Concluded (Contract signed),In operation (production),Kuok Group#438#|Archer Daniels Midland Company (ADM)#3871#|SCI Parme Investissement#41866#|ImmoRiv SA#41867#,39361,1997#current#39361.0,#current##Agriculture unspecified,Lease,1997##Concluded (Contract signed)|2008##Change of ownership|1997#current#Concluded (Contract signed),1997#current#In operation (production),Yes,37293,PALMCI,Côte d'Ivoire,Stock-exchange listed company,NA,PALMCI,Côte d'Ivoire,Stock-exchange listed company,Exact location,"Boubo, Côte d'Ivoire","c(-4.3361, 5.31752)"
1130,transnational,39361,Côte d'Ivoire,39361,40516,Concluded (Contract signed),In operation (production),Kuok Group#438#|Archer Daniels Midland Company (ADM)#3871#|SCI Parme Investissement#41866#|ImmoRiv SA#41867#,39361,1997#current#39361.0,#current##Agriculture unspecified,Lease,1997##Concluded (Contract signed)|2008##Change of ownership|1997#current#Concluded (Contract signed),1997#current#In operation (production),Yes,37293,PALMCI,Côte d'Ivoire,Stock-exchange listed company,NA,PALMCI,Côte d'Ivoire,Stock-exchange listed company,Exact location,"IBOKE, Côte d'Ivoire","c(-7.4138, 4.68071)"
1141,transnational,11980,Cameroon,11980,24442,Concluded (Contract signed),In operation (production),Government of Cameroon#1838#|Castel group#40945#,25000,##6720|2006#current#11980,"2006#current#11980#Biofuels, Food crops, Renewable Energy",Lease,2006#current#Concluded (Contract signed),2006#current#In operation (production),No,35645,SOSUCAM,Cameroon,Private company,99,SOSUCAM,Cameroon,Private company,Coordinates,"Nkoteng, Cameroon","c(12.06334, 4.43657)"
1141,transnational,11980,Cameroon,11980,24442,Concluded (Contract signed),In operation (production),Government of Cameroon#1838#|Castel group#40945#,25000,##6720|2006#current#11980,"2006#current#11980#Biofuels, Food crops, Renewable Energy",Lease,2006#current#Concluded (Contract signed),2006#current#In operation (production),No,35645,SOSUCAM,Cameroon,Private company,99,SOSUCAM,Cameroon,Private company,Coordinates,"M'Bandjock, Cameroon","c(11.98416, 4.433)"
1151,transnational,58063,Cameroon,58063,34651,Concluded (Contract signed),In operation (production),Bolloré Group#168#|Government of Cameroon#1838#|Geselfina S.A.#41759#|Afico S.A.#41760#|Twosun Fin. SA#41761#|Hubert Fabri#41762#|Compagnie du Cambodge#41763#|Technifin#41764#|Plantations des Terres Rouges#41765#|Compagnie des Glénans#41766#,63763,2004##78529.0|2019#current#58063.0,"#current##Non-food agricultural commodities, Agriculture unspecified",Lease,2000#current#Concluded (Contract signed),2000#current#In operation (production),Yes,35649,SOCAPALM,Cameroon,Private company,55,SOCAPALM,Cameroon,Private company,Exact location,"Bidjoka, Cameroon","c(10.60672, 3.69255)"
1151,transnational,58063,Cameroon,58063,34651,Concluded (Contract signed),In operation (production),Bolloré Group#168#|Government of Cameroon#1838#|Geselfina S.A.#41759#|Afico S.A.#41760#|Twosun Fin. SA#41761#|Hubert Fabri#41762#|Compagnie du Cambodge#41763#|Technifin#41764#|Plantations des Terres Rouges#41765#|Compagnie des Glénans#41766#,63763,2004##78529.0|2019#current#58063.0,"#current##Non-food agricultural commodities, Agriculture unspecified",Lease,2000#current#Concluded (Contract signed),2000#current#In operation (production),Yes,35649,SOCAPALM,Cameroon,Private company,55,SOCAPALM,Cameroon,Private company,Exact location,"Eseka, Cameroon","c(10.68595, 3.62403)"
1151,transnational,58063,Cameroon,58063,34651,Concluded (Contract signed),In operation (production),Bolloré Group#168#|Government of Cameroon#1838#|Geselfina S.A.#41759#|Afico S.A.#41760#|Twosun Fin. SA#41761#|Hubert Fabri#41762#|Compagnie du Cambodge#41763#|Technifin#41764#|Plantations des Terres Rouges#41765#|Compagnie des Glénans#41766#,63763,2004##78529.0|2019#current#58063.0,"#current##Non-food agricultural commodities, Agriculture unspecified",Lease,2000#current#Concluded (Contract signed),2000#current#In operation (production),Yes,35649,SOCAPALM,Cameroon,Private company,55,SOCAPALM,Cameroon,Private company,Exact location,"Kribi, Cameroon","c(9.98029, 2.934)"
1151,transnational,58063,Cameroon,58063,34651,Concluded (Contract signed),In operation (production),Bolloré Group#168#|Government of Cameroon#1838#|Geselfina S.A.#41759#|Afico S.A.#41760#|Twosun Fin. SA#41761#|Hubert Fabri#41762#|Compagnie du Cambodge#41763#|Technifin#41764#|Plantations des Terres Rouges#41765#|Compagnie des Glénans#41766#,63763,2004##78529.0|2019#current#58063.0,"#current##Non-food agricultural commodities, Agriculture unspecified",Lease,2000#current#Concluded (Contract signed),2000#current#In operation (production),Yes,35649,SOCAPALM,Cameroon,Private company,55,SOCAPALM,Cameroon,Private company,Exact location,"Bidjoka, Cameroon","c(10.58784, 3.71004)"
1151,transnational,58063,Cameroon,58063,34651,Concluded (Contract signed),In operation (production),Bolloré Group#168#|Government of Cameroon#1838#|Geselfina S.A.#41759#|Afico S.A.#41760#|Twosun Fin. SA#41761#|Hubert Fabri#41762#|Compagnie du Cambodge#41763#|Technifin#41764#|Plantations des Terres Rouges#41765#|Compagnie des Glénans#41766#,63763,2004##78529.0|2019#current#58063.0,"#current##Non-food agricultural commodities, Agriculture unspecified",Lease,2000#current#Concluded (Contract signed),2000#current#In operation (production),Yes,35649,SOCAPALM,Cameroon,Private company,55,SOCAPALM,Cameroon,Private company,Exact location,"Eseka, Cameroon","c(10.68595, 3.58659)"
1166,transnational,180000,"Congo, Rep.",180000,750,Concluded (Contract signed),Startup phase (no production),Silvermark Resources Inc#2540#|Giant Dragon Group#2541#|Agro Panorama Sdn Bhd#41200#|Tandilion International Limited#43402#,470000,2010##470000.0|2011#current#180000.0,"#current##Biofuels, Agriculture unspecified, Timber plantation, Renewable Energy",Lease,2008##Intended (Under negotiation)|2010#current#Concluded (Contract signed),2013#current#Startup phase (no production),No,35660,Atama Plantation SARL,"Congo, Rep.",Private company,25,Atama Plantation SARL,"Congo, Rep.",Private company,Exact location,"Epoma, Republic of the Congo","c(15.39968, 0.42362)"
1166,transnational,180000,"Congo, Rep.",180000,750,Concluded (Contract signed),Startup phase (no production),Silvermark Resources Inc#2540#|Giant Dragon Group#2541#|Agro Panorama Sdn Bhd#41200#|Tandilion International Limited#43402#,470000,2010##470000.0|2011#current#180000.0,"#current##Biofuels, Agriculture unspecified, Timber plantation, Renewable Energy",Lease,2008##Intended (Under negotiation)|2010#current#Concluded (Contract signed),2013#current#Startup phase (no production),No,35660,Atama Plantation SARL,"Congo, Rep.",Private company,25,Atama Plantation SARL,"Congo, Rep.",Private company,Exact location,"Owando, Republic of the Congo","c(16.0667, -0.32955)"
1334,transnational,15000,Ghana,15000,450,Concluded (Contract signed),Project abandoned,Kimminic Corporation#1120#|Nkoranza Traditional Council#42373#,68000,2007#current#15000.0,#current##Biofuels,Lease,2007#current#Concluded (Contract signed),##In operation (production)|#current#Project abandoned,NA,35766,Kimminic Estates,Ghana,Private company,50,Kimminic Estates,Ghana,Private company,Exact location,"Yeji, Ghana","c(-0.72245, 8.16652)"
1334,transnational,15000,Ghana,15000,450,Concluded (Contract signed),Project abandoned,Kimminic Corporation#1120#|Nkoranza Traditional Council#42373#,68000,2007#current#15000.0,#current##Biofuels,Lease,2007#current#Concluded (Contract signed),##In operation (production)|#current#Project abandoned,NA,35766,Kimminic Estates,Ghana,Private company,50,Kimminic Estates,Ghana,Private company,Approximate location,"Prang, Ghana","c(-1.09377, 8.02611)"
1334,transnational,15000,Ghana,15000,450,Concluded (Contract signed),Project abandoned,Kimminic Corporation#1120#|Nkoranza Traditional Council#42373#,68000,2007#current#15000.0,#current##Biofuels,Lease,2007#current#Concluded (Contract signed),##In operation (production)|#current#Project abandoned,NA,35766,Kimminic Estates,Ghana,Private company,50,Kimminic Estates,Ghana,Private company,Approximate location,"Kumfia, Ghana","c(-1.39523, 7.78137)"
1334,transnational,15000,Ghana,15000,450,Concluded (Contract signed),Project abandoned,Kimminic Corporation#1120#|Nkoranza Traditional Council#42373#,68000,2007#current#15000.0,#current##Biofuels,Lease,2007#current#Concluded (Contract signed),##In operation (production)|#current#Project abandoned,NA,35766,Kimminic Estates,Ghana,Private company,50,Kimminic Estates,Ghana,Private company,Approximate location,"Ahyiayemu, Ghana","c(-1.48883, 7.60052)"
1384,transnational,130,Kenya,130,0,Concluded (Contract signed),In operation (production),Agri-Vie#1760#|Richard Fernandes#4890#|Andrew Fernandes#4891#,NA,#current#130.0,#current##Non-food agricultural commodities,NA,#current#Concluded (Contract signed),#current#In operation (production),No,39947,Kariki Group in Kenya,Kenya,Private company,NA,Kariki Group in Kenya,Kenya,Private company,Approximate location,"Juja, Kenya","c(37.0144, -1.10182)"
1384,transnational,130,Kenya,130,0,Concluded (Contract signed),In operation (production),Agri-Vie#1760#|Richard Fernandes#4890#|Andrew Fernandes#4891#,NA,#current#130.0,#current##Non-food agricultural commodities,NA,#current#Concluded (Contract signed),#current#In operation (production),No,39947,Kariki Group in Kenya,Kenya,Private company,NA,Kariki Group in Kenya,Kenya,Private company,Approximate location,"Naivasha, Kenya","c(36.43103, -0.71718)"
1384,transnational,130,Kenya,130,0,Concluded (Contract signed),In operation (production),Agri-Vie#1760#|Richard Fernandes#4890#|Andrew Fernandes#4891#,NA,#current#130.0,#current##Non-food agricultural commodities,NA,#current#Concluded (Contract signed),#current#In operation (production),No,39947,Kariki Group in Kenya,Kenya,Private company,NA,Kariki Group in Kenya,Kenya,Private company,Approximate location,"Molo, Kenya","c(35.73237, -0.24884)"
1384,transnational,130,Kenya,130,0,Concluded (Contract signed),In operation (production),Agri-Vie#1760#|Richard Fernandes#4890#|Andrew Fernandes#4891#,NA,#current#130.0,#current##Non-food agricultural commodities,NA,#current#Concluded (Contract signed),#current#In operation (production),No,39947,Kariki Group in Kenya,Kenya,Private company,NA,Kariki Group in Kenya,Kenya,Private company,Approximate location,"Mount Kenya, Kenya","c(37.30841, -0.15214)"
1396,transnational,220000,Liberia,220000,18800,Concluded (Contract signed),In operation (production),Sinar Mas Group#173#|Flambo International Ltd#42987#|Golden Moment Limited#42989#|Massingham International Ltd#42990#,220000,2010#current#220000.0,"2010#current#220000.0#Agriculture unspecified, Conservation",Lease,2010#current#Concluded (Contract signed),2010##Startup phase (no production)|2015#current#In operation (production),Yes,37100,Golden Veroleum (Liberia) inc.,Liberia,Private company,65,Golden Veroleum (Liberia) inc.,Liberia,Private company,Exact location,"Butaw, Liberia","c(-9.07923, 5.14092)"
1396,transnational,220000,Liberia,220000,18800,Concluded (Contract signed),In operation (production),Sinar Mas Group#173#|Flambo International Ltd#42987#|Golden Moment Limited#42989#|Massingham International Ltd#42990#,220000,2010#current#220000.0,"2010#current#220000.0#Agriculture unspecified, Conservation",Lease,2010#current#Concluded (Contract signed),2010##Startup phase (no production)|2015#current#In operation (production),Yes,37100,Golden Veroleum (Liberia) inc.,Liberia,Private company,65,Golden Veroleum (Liberia) inc.,Liberia,Private company,Exact location,"Garraway, Liberia","c(-7.90834, 4.5596)"
1795,transnational,1430,Senegal,1430,900,Concluded (Contract signed),In operation (production),Société de culture légumière SCL#1468#,3000,2009##300.0|2010##500.0|2015#current#1430.0,#current##Food crops,Lease,2009#current#Concluded (Contract signed),#current#In operation (production),Yes,36073,Barfoots Senegal,Senegal,Private company,NA,Barfoots Senegal,Senegal,Private company,Exact location,"Gandon, Senegal","c(-16.351, 15.97173)"
1795,transnational,1430,Senegal,1430,900,Concluded (Contract signed),In operation (production),Société de culture légumière SCL#1468#,3000,2009##300.0|2010##500.0|2015#current#1430.0,#current##Food crops,Lease,2009#current#Concluded (Contract signed),#current#In operation (production),Yes,36073,Barfoots Senegal,Senegal,Private company,NA,Barfoots Senegal,Senegal,Private company,Exact location,"Sanar, Senegal","c(-16.41719, 16.18606)"
1795,transnational,1430,Senegal,1430,900,Concluded (Contract signed),In operation (production),Société de culture légumière SCL#1468#,3000,2009##300.0|2010##500.0|2015#current#1430.0,#current##Food crops,Lease,2009#current#Concluded (Contract signed),#current#In operation (production),Yes,36073,Barfoots Senegal,Senegal,Private company,NA,Barfoots Senegal,Senegal,Private company,Approximate location,"Sanar, Senegal","c(-16.46637, 16.05983)"
1817,transnational,11339,Sierra Leone,11339,1810.23,Concluded (Contract signed),In operation (production),Phatisa Group Limited#1870#|Finnish Fund for Industrial Cooperation#2953#|Planting Naturals B.V.#43702#,5058,2011##800.0|2019#current#11339.0,#current##Agriculture unspecified,Lease,2011##Intended (Memorandum of understanding)|2011#current#Concluded (Contract signed),2013#current#In operation (production),Yes,36087,Goldtree (SL) Ltd.,Sierra Leone,Private company,NA,Goldtree (SL) Ltd.,Sierra Leone,Private company,Coordinates,"Daru, Sierra Leone","c(-10.84824, 7.96904)"
1817,transnational,11339,Sierra Leone,11339,1810.23,Concluded (Contract signed),In operation (production),Phatisa Group Limited#1870#|Finnish Fund for Industrial Cooperation#2953#|Planting Naturals B.V.#43702#,5058,2011##800.0|2019#current#11339.0,#current##Agriculture unspecified,Lease,2011##Intended (Memorandum of understanding)|2011#current#Concluded (Contract signed),2013#current#In operation (production),Yes,36087,Goldtree (SL) Ltd.,Sierra Leone,Private company,NA,Goldtree (SL) Ltd.,Sierra Leone,Private company,Exact location,"Kenema, Sierra Leone","c(-10.919, 7.86958)"
1817,transnational,11339,Sierra Leone,11339,1810.23,Concluded (Contract signed),In operation (production),Phatisa Group Limited#1870#|Finnish Fund for Industrial Cooperation#2953#|Planting Naturals B.V.#43702#,5058,2011##800.0|2019#current#11339.0,#current##Agriculture unspecified,Lease,2011##Intended (Memorandum of understanding)|2011#current#Concluded (Contract signed),2013#current#In operation (production),Yes,36087,Goldtree (SL) Ltd.,Sierra Leone,Private company,NA,Goldtree (SL) Ltd.,Sierra Leone,Private company,Approximate location,"Malema, Sierra Leone","c(-10.81492, 8.17259)"
2237,transnational,10847,Ghana,10847,650,Concluded (Contract signed),Project abandoned,Solar Harvest AS#2079#,154778,2008#current#10847.0,"#current##Biofuels, Food crops",Lease,2008#current#Concluded (Contract signed),2007##Startup phase (no production)|2013#current#Project abandoned,No,36591,Solar Harvest Ltd,Ghana,Private company,25,Solar Harvest Ltd,Ghana,Private company,Coordinates,"Yendi, Ghana","c(-0.00933, 9.44504)"
2237,transnational,10847,Ghana,10847,650,Concluded (Contract signed),Project abandoned,Solar Harvest AS#2079#,154778,2008#current#10847.0,"#current##Biofuels, Food crops",Lease,2008#current#Concluded (Contract signed),2007##Startup phase (no production)|2013#current#Project abandoned,No,36591,Solar Harvest Ltd,Ghana,Private company,25,Solar Harvest Ltd,Ghana,Private company,Coordinates,"Yendi, Ghana","c(-0.36323, 9.3821)"
2290,domestic,3000,Mauritius,3000,2755,Concluded (Contract signed),In operation (production),Omnicane Agricultural Operations Limited#42780#,3000,2009#current#3000.0,"#current##Biofuels, Food crops, Renewable Energy",Outright purchase,2009#current#Concluded (Contract signed),1999#current#In operation (production),Yes,42780,Omnicane Agricultural Operations Limited,Mauritius,Private company,NA,Omnicane Agricultural Operations Limited,Mauritius,Private company,Approximate location,"Britannia, Mauritius","c(57.56177, -20.45038)"
2290,domestic,3000,Mauritius,3000,2755,Concluded (Contract signed),In operation (production),Omnicane Agricultural Operations Limited#42780#,3000,2009#current#3000.0,"#current##Biofuels, Food crops, Renewable Energy",Outright purchase,2009#current#Concluded (Contract signed),1999#current#In operation (production),Yes,42780,Omnicane Agricultural Operations Limited,Mauritius,Private company,NA,Omnicane Agricultural Operations Limited,Mauritius,Private company,Approximate location,"Benares, Mauritius","c(57.58938, -20.48445)"
2290,domestic,3000,Mauritius,3000,2755,Concluded (Contract signed),In operation (production),Omnicane Agricultural Operations Limited#42780#,3000,2009#current#3000.0,"#current##Biofuels, Food crops, Renewable Energy",Outright purchase,2009#current#Concluded (Contract signed),1999#current#In operation (production),Yes,42780,Omnicane Agricultural Operations Limited,Mauritius,Private company,NA,Omnicane Agricultural Operations Limited,Mauritius,Private company,Approximate location,"Mon Desert, Mauritius","c(57.67541, -20.45232)"
2290,domestic,3000,Mauritius,3000,2755,Concluded (Contract signed),In operation (production),Omnicane Agricultural Operations Limited#42780#,3000,2009#current#3000.0,"#current##Biofuels, Food crops, Renewable Energy",Outright purchase,2009#current#Concluded (Contract signed),1999#current#In operation (production),Yes,42780,Omnicane Agricultural Operations Limited,Mauritius,Private company,NA,Omnicane Agricultural Operations Limited,Mauritius,Private company,Approximate location,"Plaines Wilhems District, Mauritius","c(57.48536, -20.30549)"
3100,transnational,21696,Nigeria,21696,16900,Concluded (Contract signed),In operation (production),Bolloré Group#168#|Unknown (Nigerian Investors)#3445#|Geselfina S.A.#41759#|Afico S.A.#41760#|Twosun Fin. SA#41761#|Hubert Fabri#41762#|Compagnie du Cambodge#41763#|Technifin#41764#|Plantations des Terres Rouges#41765#|Compagnie des Glénans#41766#,33096,1986##15580.0|2001#current#21696.0,"#current##Non-food agricultural commodities, Agriculture unspecified",Lease,1990#current#Concluded (Contract signed),1976#current#In operation (production),No,36402,Okomu Oil Palm Company,Nigeria,Private company,99,Okomu Oil Palm Company,Nigeria,Private company,Exact location,"Benin City, Nigeria","c(5.25905, 6.40527)"
3100,transnational,21696,Nigeria,21696,16900,Concluded (Contract signed),In operation (production),Bolloré Group#168#|Unknown (Nigerian Investors)#3445#|Geselfina S.A.#41759#|Afico S.A.#41760#|Twosun Fin. SA#41761#|Hubert Fabri#41762#|Compagnie du Cambodge#41763#|Technifin#41764#|Plantations des Terres Rouges#41765#|Compagnie des Glénans#41766#,33096,1986##15580.0|2001#current#21696.0,"#current##Non-food agricultural commodities, Agriculture unspecified",Lease,1990#current#Concluded (Contract signed),1976#current#In operation (production),No,36402,Okomu Oil Palm Company,Nigeria,Private company,69,Okomu Oil Palm Company,Nigeria,Private company,Exact location,"Benin City, Nigeria","c(5.25905, 6.40527)"
3100,transnational,21696,Nigeria,21696,16900,Concluded (Contract signed),In operation (production),Bolloré Group#168#|Unknown (Nigerian Investors)#3445#|Geselfina S.A.#41759#|Afico S.A.#41760#|Twosun Fin. SA#41761#|Hubert Fabri#41762#|Compagnie du Cambodge#41763#|Technifin#41764#|Plantations des Terres Rouges#41765#|Compagnie des Glénans#41766#,33096,1986##15580.0|2001#current#21696.0,"#current##Non-food agricultural commodities, Agriculture unspecified",Lease,1990#current#Concluded (Contract signed),1976#current#In operation (production),No,36402,Okomu Oil Palm Company,Nigeria,Private company,99,Okomu Oil Palm Company,Nigeria,Private company,Exact location,"Benin City, Nigeria","c(5.25905, 6.40527)"
3214,transnational,348000,"Congo, Dem. Rep.",348000,0,Concluded (Contract signed),In operation (production),Groupe Blattner Elwyn#1584#|Congo Emissions Management#43038#,348000,2004#current#348000.0,"2004#current#348000.0#Agriculture unspecified, Forest logging / management, For carbon sequestration/REDD",Concession,2009#current#Concluded (Contract signed)|2004##Concluded (Contract signed),2019#current#In operation (production),No,36770,SAFBOIS with REDD+ partner,"Congo, Dem. Rep.",Private company,25,SAFBOIS with REDD+ partner,"Congo, Dem. Rep.",Private company,Coordinates,"Isangi, Democratic Republic of the Congo","c(24.03065, 0.60748)"
3214,transnational,348000,"Congo, Dem. Rep.",348000,0,Concluded (Contract signed),In operation (production),Groupe Blattner Elwyn#1584#|Congo Emissions Management#43038#,348000,2004#current#348000.0,"2004#current#348000.0#Agriculture unspecified, Forest logging / management, For carbon sequestration/REDD",Concession,2009#current#Concluded (Contract signed)|2004##Concluded (Contract signed),2019#current#In operation (production),No,36770,SAFBOIS with REDD+ partner,"Congo, Dem. Rep.",Private company,25,SAFBOIS with REDD+ partner,"Congo, Dem. Rep.",Private company,Coordinates,"Tshopo, Democratic Republic of the Congo","c(23.84849, 0.18758)"
3398,transnational,50000,Ghana,50000,0,Concluded (Contract signed),Project abandoned,Natural African Diesel (NAD)#2109#,50000,2008#current#50000.0,#current##Biofuels,Lease,2008#current#Concluded (Contract signed),2008##Startup phase (no production)|2020#current#Project abandoned,NA,37362,"Natural African Diesel, Ghana Limited",Ghana,Private company,50,"Natural African Diesel, Ghana Limited",Ghana,Private company,Coordinates,"Brenkente, Ghana","c(-0.62836, 8.18414)"
